Timestamp,Transcript
[00:00:49]:,Starting with the prompt note
[00:00:52]:,"Trying to highlight ""Nigeria"" in prompt note"
[00:01:36]:,Looking at the list of documents and reviewing the prompt note
[00:02:09]:,Reading the prompt loud
[00:02:39]:,"""It's says illigal arms dealing. Maybe arms is good word to start with"""
[00:02:53]:,"Searching for ""Arms"""
[00:02:53]:,User changed the topic: Searching  for documents about arms) (type 1)[bottom-up]
[00:03:02]:,"""I'm going to look for 2009"""
[00:03:17]:,"Picking 2009 documents from the ""Arms"" search results and putting in one stack"
[00:03:50]:,Looking thorugh titles
[00:03:55]:,"""This is about an arm exibition in Dubai. wow. this sounds fishy but the disease started in Nigeria"""
[00:04:20]:,"""Opening one of selected documents about Kenya because it's closer to Nigeria"""
[00:04:47]:,Still reading the document
[00:05:09]:,Still reading the document
[00:05:42]:,User changed the topic: Who are the gun dealers in Nigeria) (type 1)[bottom-up]
[00:05:31]:,"""Ok. next I'm going to search for Nigeria articles"""
[00:05:42]:,"Searching for ""Nigeria"""
[00:05:51]:,"Picking a new document from the ""Nigeria"" search results"
[00:05:58]:,Picking a new document from the last search results
[00:06:02]:,Start reading the article
[00:06:02]:,User changed the topic: Who is Minsky) (type 2)[top-down]
[00:06:17]:,"""Who's Minsky?"""
[00:06:38]:,"""This one say's they have found diamonds in Minsky's office. I'm going to find out who is Minsky"""
[00:07:16]:,"Searching for ""Minsky"""
[00:07:22]:,Picking a new document from the last search results and looking through it
[00:07:51]:,Looking at two documents at the same time
[00:08:17]:,Picking a new document from the last search results because Minsky's name is in the title
[00:08:35]:,"""It doesn't look relevant but I want to find out who is this guy"""
[00:09:13]:,"""So he was involved with arms dealings in Yemen and Yemen is one of the countries which the disease spread to. Minsky's arms dealing might result to disease in Yemen"""
[00:09:59]:,Opening a random document
[00:10:18]:,"""I chosed this one because it says supply of supperior quality which obviously refers to illigal shipments"""
[00:10:32]:,Opening the document below last one
[00:10:38]:,"""So I've stablished that... Let's highlight some words"""
[00:11:07]:,"Highlighting ""Minsky"""
[00:11:14]:,"Highlighting ""Gun shipments to Yemen"""
[00:11:54]:,User changed the topic: Finding information about Nigeria) (type 3)[top-down]
[00:11:54]:,"Searching for ""Nigeria"""
[00:12:15]:,"""There are some emails here about Nigeria I want to read it"""
[00:12:37]:,"""I want to read these four based on dates so it would be Dec 2008"""
[00:13:24]:,Still reading the document
[00:13:30]:,Highlighting a sentenc in email about providing a bank account and making a fund transfere possible
[00:13:49]:,"""Maybe it's good to find out what is that fund for"""
[00:14:26]:,Still reading the document
[00:14:41]:,"""I've no idea what this guy is talking aobut"""
[00:14:46]:,Opening a new document from the last search results
[00:15:28]:,Still reading the document
[00:15:52]:,"""This one is about the Money went to Centeral bank of Nigeria. I'm thinking if these guys bought oil from Nigeria and the disease started from Oil"""
[00:16:37]:,User changed the topic: Terrorists doing money laundary in Nigeria) (type 2)[bottom-up]
[00:16:37]:,"Writing  a new note about Oil from Nigeria causing the disease. ""Oil from Nigeria - Arms?"""
[00:17:30]:,"Picking a new document from the ""Nigeria"" search results and both have same ccontacts"
[00:18:06]:,Moving the document close to last Note
[00:18:11]:,"""This guys is laundering arms money. They first talked about making covering the money transfer because of some unreal contract terms and in second documents they say every thing are gone successful"""
