Timestamp,Transcript
[00:00:22]:,User starts the study with reading the prompt note
[00:01:29]:,"Searching for ""Suspicious"""
[00:01:27]:,User changed the topic: (Looking for Suspicious Activities with animals) (type 1)[bottom-up]
[00:01:41]:,"Picking a document in title ""May 2011. Suspicious Turkey Found with Man at Airport"""
[00:02:02]:,Still reading the document
[00:02:25]:,"""This is about a man carrying a frozen turkey at the airport"""
[00:02:41]:,"Highlighting ""Suspicious Turkey Found"""
[00:02:56]:,Users puts the docoument aside
[00:03:06]:,Making a new note: Note 1 -empty-
[00:03:24]:,"Searching for ""Frozen turkey"""
[00:03:36]:,"Searching for ""Turkey"""
[00:03:42]:,"""I'm going back to suspicious"""
[00:03:55]:,"Picking a document in title ""April 2011. Update on Animal Deaths"""
[00:04:07]:,"Highlighting ""mass livestock deaths on April 1"""
[00:04:36]:,"Searching for ""Animal death"""
[00:04:45]:,"Searching for ""Livestock"""
[00:04:58]:,"Searching for ""Mass death"""
[00:05:11]:,"Searching for ""Suspicious"""
[00:05:14]:,"Picking a document in title ""May 2011. City Threat Level Increased"""
[00:05:51]:,"Highlighting ""raised the threat level around the country. including Vastopolis"""
[00:06:14]:,"Picking a document in title ""May 2011. City Threat Level Increased"""
[00:06:17]:,"""I'm searcjhing the keyword Suspicious and reading results. after that I search the terms in each of these results"""
[00:07:10]:,"Searching for ""Bomb"""
[00:07:23]:,"Picking a document in title ""April 2011. Bomb Blast Kills Nine"""
[00:07:25]:,"""this one has an interesting title"""
[00:07:43]:,"Highlighting ""April 03. 2011"""
[00:07:58]:,"Highlighting ""airport security"""
[00:07:55]:,User changed the topic: (Looking for Events in Airlines and Airports)[bottom-up]
[00:08:10]:,"Highlighting """"killing nine people"""
[00:08:33]:,"Highlighting ""A bomb exploded"""
[00:08:58]:,"Searching for ""Airport"""
[00:09:16]:,"Picking a document in title ""May 2011. Explosives Traces Are Said To Be Found in Antarctica Airlines"""
[00:09:41]:,"Picking a document in title "" May 2011. Corrections & Amplifications"""
[00:09:46]:,"Picking a document in title ""March 2011. The Big Hustle The Big Hustle"""
[00:09:59]:,"Picking a document in title ""March 2011. Officials Confident of Security"""
[00:10:20]:,User is looking at the dates
[00:10:20]:,"Highlighting ""March 2011"""
[00:10:38]:,"Highlighting ""the crash of a Antarctica Airlines jet"""
[00:10:49]:,"""They had a airplane crash on March and this one says some chemicals disapeared"""
[00:11:03]:,"Picking a document in title ""May 2011. Explosives Traces Are Said To Be Found in Antarctica Airlines"""
[00:11:08]:,"Highlighting ""Traces of a chemical residue that may have come from a bomb or a missile were found on wreckage fragments of the Antarctica Airlines flight"""
[00:11:23]:,Making connection between two documents about airline crash and chemical residue
[00:11:43]:,"Picking a document in title ""April 2011. Investigators Question Passengers On Previous Leg of Antarctica Airlines Flight"""
[00:12:19]:,Still reading the document
[00:12:23]:,"Highlighting ""Investigators seeking clues to the downing of the Antarctica Airlines flight"""
[00:12:28]:,"Highlighting ""April 29. 2011"""
[00:12:47]:,"Picking a document in title ""March 2011. Not All Security Levels Are Created Equal"""
[00:12:48]:,"""This one is about airports also"""
[00:13:07]:,Making connection between another document and two other ones about airport
[00:13:56]:,Still reading the document
[00:14:07]:,"""This one is also relevant to the other airport ones"""
[00:14:17]:,"Highlighting ""March 30. 2011"""
[00:14:22]:,"Highlighting "" US airports are required to meet minimum security standards"""
[00:14:34]:,"""There is also a document here about contamination in airport. this gives me a new idea to search about"""
[00:14:45]:,User changed the topic: (Searching for food contamination) [bottom-up]
[00:14:48]:,"Searching for ""Food"""
[00:14:59]:,"""Two of results are about South Korea here"""
[00:15:09]:,"Picking a document in title "" April 2011. South Korean Police Siege on University Students Continues"""
[00:15:48]:,Still reading the document
[00:16:18]:,Still reading the document
[00:16:45]:,"Picking a document in title "" May 2011. Royal Dutch Buoys Market"""
[00:16:51]:,Looking through titles
[00:17:10]:,"Searching for ""Contamination"""
[00:17:19]:,"Searching for ""Contaminate"""
[00:17:24]:,Looking through titles
[00:17:57]:,Looking through titles
[00:18:06]:,"""I'm looking randomly through the titles here"""
[00:18:22]:,"Searching for ""explosion"""
[00:18:20]:,"User changed the topic: (Looking for Bombing and Explosions, Smogtown) [bottom-up]"
[00:18:32]:,"Picking a document in title "" May 2011. Explosions at Smogtown Chemical Plant """
[00:18:41]:,"Highlighting ""May 17. 2011"""
[00:18:45]:,"Highlighting ""Explosions at Smogtown Chemical Plan"""
[00:19:26]:,"Searching for ""Chemical Plant"""
[00:19:33]:,"Searching for ""Smogtown"""
[00:19:50]:,"""I'm seeing two other documents related"""
[00:20:06]:,"Highlighting ""A consensus exists among local residents that the explosions were caused by some kind of terrorist act"""
[00:20:10]:,"""I was searching for explosions at the beggining. then I found some article that states explosion happend in smogtown chemical plant. so I searched for new search term smogtom to find other related articles. next I'm going to go back to explosion later"""
[00:21:19]:,"Picking a document in title ""May 2011. Bomb Makers Apprehended"""
[00:21:33]:,"Highlighting ""May 12. 2011"""
[00:21:45]:,"Highlighting ""In Smogtown. two men with enough material to construct several explosive devices were apprehended before the devices were completed"""
[00:22:08]:,Making connection between two documents about bombs
[00:22:24]:,"Picking a document in title ""May 2009. A controversial public school of the Suburbia religious community was declared illegal by a state court """
[00:23:00]:,Still reading the document
[00:23:13]:,"""I don't think it's related. but I want to look at the livestock article again"""
[00:23:40]:,"Picking a document in title ""April 2011. Update on Animal Deaths"""
[00:23:38]:,User changed the topic: (Looking for threats related to foods and livestock) [bottom-up]
[00:23:48]:,"Highlighting ""April 14. 2011"""
[00:24:23]:,Still reading the document
[00:24:37]:,"""I'm going to search again for it"""
[00:24:41]:,"Searching for ""livestock"""
[00:24:48]:,"Picking a document in title ""March 2011. US Plans to Seek Indictments Of 2 ADM Execs in"""
[00:25:15]:,"Searching for ""Poison"""
[00:25:28]:,"Picking a document in title ""May 2011. Circon Corp. Attempts to Block Takeover With Worker Benefits"""
[00:26:12]:,"Searching for ""Trespass"""
