Timestamp,Transcript,
[00:00:14]:, User starts the study with raedying the prompt note,
[00:00:56]:, Still reading the prompt note,
[00:01:43]:, Still reading the prompt note,
[00:02:10]:, Still reading the prompt note,
[00:02:58]:," ""It says the celeberation was about a new found fortune""",
[00:03:22]:," ""I want to first solve the problem and events around the disapearance and also the POK organization""",
[00:03:34]:," Searching for ""POK""",
[00:03:34]:, User changed the topic: (Looking for information on POK group)  [bottom-up],
[00:03:41]:," Picking a document in title ""Jan 2014. GASTech Employees Kidnapped in Kronos International Times""",
[00:04:08]:, Still reading the document,
[00:04:36]:, Still reading the document,
[00:05:01]:, Still reading the document,
[00:05:39]:, Still reading the document,
[00:06:08]:, Still reading the document,
[00:06:25]:," Picking a document in title ""Jun 2010. IN THE MEMORY:  The DEATH Of ELIAN KAREL.""",
[00:06:55]:, Still reading the document,
[00:07:21]:, Still reading the document,
[00:07:33]:, User puts the document back,
[00:07:36]:, Looking through titles,
[00:07:52]:, Reading the prompt again ,
[00:07:56]:," Searching for ""employees""",
[00:08:17]:," Searching for ""POK""",
[00:08:18]:," ""Noting interesting so far. just reading articles about POK""",
[00:08:27]:," Picking a document in title ""Jun 2010. IN THE MEMORY:  The DEATH Of ELIAN KAREL."" again",
[00:08:38]:," ""I want to change my search term""",
[00:09:10]:, User changed the topic: (Looking for Enviromental and health Issues caused by GasTech)[bottom-up],
[00:08:39]:," Searching for ""Gastech""",
[00:08:54]:," Searching for ""Gas""",
[00:09:10]:," Searching for ""Enviromental""",
[00:09:17]:," ""I changes my  keyword to Enviroment because the major problem was the enviroment issues. Also. there were lots of articles about POK and I don't want to deal with all of them now.""",
[00:09:40]:," Picking a document in title ""Nov 2013. The protests of Kronos break out in violence  The Continent """,
[00:10:08]:, Still reading the document,
[00:10:40]:, Still reading the document,
[00:11:17]:, Still reading the document,
[00:12:02]:, Still reading the document,
[00:12:05]:," ""It seems important""",
[00:12:13]:," Highlighting ""Hundreds rural citizens suffer from important sicknesses which are apparently caused by exhibition to GAStech waste streams. although this no official gesubstanti have been or recognize by or the company or government""",
[00:12:40]:," ""There was a protest group which got into violent and the reason was the polutions made by this Gastech company. Although people that got deasises think it is because of the polutions  the government doesn't accept this""",
[00:12:58]:," Picking a document in title ""NOV 1998. HEALTH FOR ALL (WFA) BURSTS GASTECH AND KRONOS GOVT""",
[00:13:06]:," ""The previous article was on 2014 but this one is 1998""",
[00:13:32]:," Highlighting ""the healthy group of the knowledge of the water. health for all (WFA). has condemned international GAStech and the government of Kronos""",
[00:13:36]:, Still reading the document,
[00:14:12]:, Still reading the document,
[00:14:41]:, Making connection between two documents about the enviroment issue and POK group,
[00:14:50]:," Picking a document in title ""Jun 2000. DOCUMENTARY CARD OF PUBLIC HEALTH Of ELODIS""",
[00:14:51]:," ""This one happend on 2000""",
[00:15:20]:, Still reading the document,
[00:15:36]:," ""It says the was a hug increase in some disease rankings""",
[00:15:39]:, Making connection between this document and there other about enviromental issues,
[00:15:52]:," Picking a document in title ""July 1996. GASTECH SHIFTS THE HEARTH WITH KRONOS""",
[00:16:32]:, Still reading the document,
[00:17:21]:," Highlighting ""The recent expenses of the subsoil water contamination against international GAStech and tightening environmental payments carry out by the interior minister of Tethan. Ivar Blanes. certainly play in the hearth of shift""",
[00:17:43]:, Making connection between this document and the first group,
[00:17:49]:," Picking a document in title ""Nov 1998. WELLNESS FOR ALL (WFA) BLASTS GASTECH AND KRONOS GOVT Who What News""",
[00:18:15]:," ""I've raed this before""",
[00:18:18]:, Making connection between first group and this document,
[00:18:21]:," Picking a document in title ""June 2000. LEAF OF THE FACT OF THE PUBLIC HEALTH OF ELODIS""",
[00:19:00]:, Still reading the document,
[00:19:18]:, Still reading the document,
[00:19:32]:," ""Again another document stateing that the disease rate is increasing""",
[00:19:38]:," Picking a document in title "" May 2000. ELODIS PUBLIC HEALTH FACT SHEET """,
[00:20:02]:," ""This  one has similar information again""",
[00:20:02]:, Making connection between this document and first group,
[00:20:16]:," Picking a document in title ""Sep.t 2005. RETURN OF THE PROTESTS OF ELODIS TO THE UPROARS AND THE HALTINGS""",
[00:21:08]:, Still reading the document,
[00:21:19]:, Still reading the document,
[00:21:22]:," ""There were some protesters against raising the breaks of that company""",
[00:21:40]:, Making connection between thie article and the first group,
[00:21:46]:," Picking a document in title ""May 2003. THE COO OF DIES IN 73  The General Post""",
[00:21:46]:, User changed the topic: (Looking for the CEO death and POK) [bottom-up],
[00:22:05]:, Still reading the document,
[00:22:57]:, Still reading the document,
[00:23:38]:," ""It says one of is dead. It was shocking although he was 74. and was whom always denied the enviromental issues of the compnay. So I guess maybe his death had a relation with these issues""",
[00:23:57]:, Making connection between this document and group 1,
[00:24:05]:," Picking a document in title ""Feb 2009. The protest of POK at GAStech sits of the ends in the arrests""",
[00:24:36]:, Still reading the document,
[00:24:58]:, Still reading the document,
[00:25:25]:, Still reading the document,
[00:26:05]:, Still reading the document,
[00:26:28]:, Making connection to the first group of documents,
[00:26:38]:," Highlighting ""dozen protesters being present guards of gathering of Kronos (POK) in front of the regional registered offices of GAStech in Abila was stopped for enfreindre this morning""",
[00:26:51]:," Picking a document in title ""May 2009. GASTECH ADOPTS NEW STANDARD""",
[00:27:31]:, Still reading the document,
[00:28:13]:, Still reading the document,
[00:28:26]:," Highlighting ""Sten Sanjorge. Jr declined to directly comment with respect to questions with respect protests and to the contamination of environment. It turned aside. is today a great day for GAStech. I will not let the day be made derail by infundado. border libelous. allegations""",
[00:28:30]:, Making connection between this article and the first group,
[00:28:35]:, User changed the topic: (Looking for information regarding kindnapping ) [bottom-up],
[00:28:39]:," Picking a document in title ""Jan 2014. Employees of GASTech removed in Kronos""",
[00:29:18]:, Still reading the document,
[00:29:41]:, Still reading the document,
[00:30:10]:, Still reading the document,
[00:30:45]:, Still reading the document,
[00:31:06]:," ""They thought that the POK is behinde the kidnaping. actually the employeenaping. based on the note they gave to the news press stating that they want 20 millions dollor in addition all other requests they still had. That seems to me like a cover up story.""",
