Timestamp,Transcript
0:00:23,User starts the study with reading the prompt note
0:00:44,"Highlighting ""January. 2014"""
0:01:05,"""Ok. they did kidnaping"""
0:01:10,Still reading the prompt
0:01:20,"""Lots of these here are from Jan 2014"""
0:01:28,"""Lets look back at the earliest things we can find"""
0:01:30,User changed the topic: (Looking for origin of the events in past) [bottom-up]
0:01:35,Looking at dates in the article topics
0:01:40,"Searching for ""1994"""
0:01:45,"Searching for ""1995"""
0:01:48,"""Seems earliest is 1995"""
0:01:51,"Picking a document in title ""Oct 1995. MAGNIFICENT OPENING GASTECH-KRONOS"""
0:01:57,"Picking a document in title ""March 1995. DRILLING TECHNIQUE BANNED"""
0:02:03,"Picking a document in title ""Nov 1995. Araullo announces the new construction of hospital"""
0:02:12,user starts reading with the first selected article
0:02:27,"Highlighting ""Sten Sanjorge"""
0:03:06,"Highlighting ""The gas field in the production outside Avila has exceeded even the expectations great size of Sanjorge. having paid the building often above"""
0:03:10,"""Seems the government was interested in Gastech"""
0:03:13,"Highlighting ""was several representatives of the government of Kronos"""
0:03:18,starts reading the second article
0:03:38,"""another name here"""
0:03:50,"Highlighting ""The administrator Torsten Trucco of hospit"""
0:04:25,Still reading the document
0:04:50,starts reading the last article from 1995
0:05:06,"""what tethys? it was Kronos. it say's tethys besed?"""
0:05:32,"Searching for ""tethys"""
0:05:36,"""ok. it's too general. let's look at somerthing else"""
0:05:45,"Searching for ""Hasr"""
0:05:55,User changed the topic: (Looking for information on HASR) [bottom-up]
0:06:03,User moves these documents to the top
0:06:21,"Highlighting ""Hyper Acidic Substrate Removal (HASR) has officially been banned by the Tethys government"""
0:06:32,Looking through titles from last search
0:06:44,user picks all four results
0:06:55,"Reading document in title ""May 2000. ELODIS PUBLIC HEALTH FACT SHEET"" based on date"
0:07:07,"Highlighting ""Maha Salo 31 May 2000 ELODIS. Kronos"""
0:07:27,Still reading the document
0:07:40,"Highlighting ""Minister of Health Nespola appointed an oncology specialist to Abila General Hospital"""
0:07:59,"Searching for ""Oncology"""
0:08:02,"Starts reading a document in title ""Jun 2000. DOCUMENTARY CARD OF PUBLIC HEALTH Of ELODIS"""
0:08:22,Comparing this document with the last one
0:08:37,"""oh they have the same information"""
0:08:39,Making connection between these two documents
