Timestamp,Transcript
[00:00:59]:,User starts the study wit hreading the prompt
[00:02:07]:,Still reading the prompt note
[00:03:12]:,User explaining the tasks in the prompt note
[00:03:58]:,"Searching for ""missing"""
[00:03:58]:,User changed the topic: (Looking for articles about people missing) [bottom-up]
[00:04:10]:,Looking through articles titles
[00:05:00]:,"Searching for ""protectors"""
[00:05:16]:,"Picking an article in title ""Jun 2011. POK Protesters Vandalize Siopa District"""
[00:05:34]:,"""It says in 2014 some people gone missing and asks for what happened in the event srounding the disapearance"""
[00:06:10]:,"Picking an article in title "" Jan 2014 WRAP UP OF EVENTS AT GASTECH"""
[00:07:01]:,User selecting articles about Jan 2014
[00:07:15]:,"""Feb 2014 and Dec 2013 would be the sorounding dates of the kidnaping event. so I'm going to look for these dates"""
[00:07:42]:,"Searching for ""Dec 2013"""
[00:08:03]:,"""I'm going to order these in chronological articles"""
[00:08:37]:,"Searching for ""Feb 2014"""
[00:08:42]:,"""uhu nothing"""
[00:08:47]:,"Searching for ""Jan 2014"""
[00:09:12]:,"""I want to go through all these Jan articles. seems all information are from Jan 2014"""
[00:09:31]:,"Picking an article in title ""Jan 2014. Breaking: Emergency at GAStech Headquarters Building"""
[00:09:41]:,"Picking an article in title "" Jan 2014. Employees of GASTech removed in Kronos"""
[00:09:50]:,"Writing a new note. Note 1: ""These happened the month before the kidnapping """
[00:10:50]:,"Writing a new note. Note 2: ""These give details about kidnapping cases"""
[00:11:00]:,"Writing a new note. Note 3: ""These give info on suspicious activities"""
[00:12:54]:,User changed the topic: (Grouping articles in three catagories)  [bottom-up]
[00:11:43]:,"""Now I'm going to go through Jan 2014 articles trying to find suspicious activities"""
[00:11:57]:,"Picking an article in title ""Jan 2014. To break off itself: The emergency to GAStech quarters"""
[00:12:22]:,"Picking an article in title ""Jan 2014. WRAP UP OF EVENTS AT GASTECH"""
[00:12:42]:,"Picking an article in title ""Jan 2014. Breaking: Emergency at GAStech Headquarters Building"""
[00:12:59]:,"Picking an article in title ""Jan 2014. Employees of GASTech removed in Kronos """
[00:13:30]:,"Picking an article in title ""Jan 2014. Blog notes: ON SCENE BLOG"""
[00:14:13]:,"Picking an article in title ""Jan 2014. Blog notes: ON SCENE BLOG Modern Rubicon"""
[00:14:33]:,"Writing a new note. Note 4: ""Blog posts - possibly coded"""
[00:15:05]:,"Picking an article in title "" Jan 2014. Blog notes: Centrum Sentinel"""
[00:15:44]:,"Picking an article in title "" Jan 2014. To break off itself: The emergency to GAStech quarters"""
[00:15:53]:,"""some of these seem to be like translations"""
[00:16:45]:,"Picking an article in title ""Jan 2014 Blog notes: Centrum Sentinel"""
[00:17:02]:,"Searching for ""21 jan 2014"""
[00:17:08]:,"""No results"""
[00:17:16]:,"Searching for ""Jan 2014"""
[00:17:30]:,"Picking an article in title ""Jan 2014. Blog posts: The Abila Post"""
[00:18:13]:,User puts articles about same events together
[00:18:33]:,Continues reading the last article
[00:19:12]:,"Picking an article in title ""Jan 2014. To break off itself: The emergency to GAStech quarters"""
[00:19:37]:,"Picking an article in title ""Jan 2014. Employees of GASTech removed in Kronos"""
[00:20:05]:,"Picking an article in title ""Jan 2014. To break off itself: The emergency to GAStech quarters"""
[00:20:12]:,"Picking an article in title ""Jan 2014. Homeland Illumination"""
[00:20:35]:,"Picking an article in title "" Jan 2014. MEETING WHO IS PLACED FOR THE MORNING"""
[00:21:00]:,"Picking an article in title "" Jan 2014. Breaking: Emergency at GAStech Headquarters Building"""
[00:21:46]:,"Picking an article in title "" Jan 2014. To break off itself: The emergency to GAStech quarters """
[00:21:45]:,"Picking an article in title ""Jan 2014. THE REQUIREMENTS OF THE RANSOM WHICH ARE MADE IN REMOVAL GASTECH"""
[00:21:50]:,User looking at the date and time of articles
[00:21:55]:,"Picking an article in title ""Jan 2014. Modern Rubicon """
[00:22:02]:,"Picking an article in title "" Jan 2014. To break off itself: The emergency to GAStech quarters"""
[00:22:23]:,"Picking an article in title ""Jan 2014. Centrum Sentinel"""
[00:22:40]:,"Picking an article in title ""Jan 2014. THE REQUIREMENTS OF THE RANSOM WHICH ARE MADE IN REMOVAL GASTECH"""
[00:22:51]:,"Picking an article in title ""Jan 2014. MEETING SET FOR TOMORROW MORNING"""
[00:22:54]:,"Picking an article in title "" Jan 2014. Blog posts: Centrum Sentinel"""
[00:23:42]:,User is looking all documents open at the same time
[00:24:06]:,"""Let's organize these by time"""
[00:24:06]:,User changed the topic: (Organizing articles by their time) [bottom-up]
[00:24:22]:,"Writing a new note. Note 5. ""Not translated ordered by time"""
[00:24:47]:,user reviewing and sorting documents in chornological
[00:25:21]:,"Picking an article in title ""Jan 2014. Blog posts: The Abila Post"""
[00:25:34]:,"Picking an article in title ""Jan 2014. Blog notes: ON SCENE BLOG Modern"""
[00:26:28]:,Still arranging the articles
[00:27:06]:,"Picking an article in title ""Jan 2014. Modern Rubicon"""
[00:27:15]:,"Picking an article in title "" Jan 2014. Breaking: Emergency at GAStech Headquarters Building"""
[00:28:23]:,"Picking an article in title ""Jan 2014. Blog posts: ON SCENE BLOG"""
