#doc source pos typeindex type topic
#alpha : 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 
#beta : 0.01
0 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing1 0 0 telephone 40
0 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing1 1 1 intercept 40
0 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing1 2 2 february 2
0 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing1 3 3 call 40
0 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing1 4 4 kiev 18
0 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing1 5 5 ukraine 18
0 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing1 6 6 tabriz 18
0 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing1 7 7 iran 18
0 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing1 8 3 call 40
0 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing1 9 4 kiev 18
0 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing1 10 8 prepaid 40
0 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing1 11 9 cell 40
0 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing1 12 10 phone 40
0 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing1 13 11 unlisted 47
